URL,Place Name,Area Type,Parent area,Area code
/reports/localarea?compare=1119879254,Irthlingborough,Built-up area,East Midlands,E34000086
/reports/localarea?compare=1119879255,Galhampton,Built-up area,South West,E34000087
/reports/localarea?compare=1119879256,Manea,Built-up area,East,E34000088
/reports/localarea?compare=1119879257,West Hanningfield,Built-up area,East,E34000089
/reports/localarea?compare=1119879258,Halberton,Built-up area,South West,E34000090
/reports/localarea?compare=1119879259,Runcton Holme,Built-up area,East,E34000091
/reports/localarea?compare=1119879260,Ryhall,Built-up area,East Midlands,E34000092
/reports/localarea?compare=1119879261,Cuxton,Built-up area,South East,E34000093
/reports/localarea?compare=1119879262,Twyford (Melton),Built-up area,East Midlands,E34000094
/reports/localarea?compare=1119879263,Hartest,Built-up area,East,E34000095
/reports/localarea?compare=1119879264,Stoke Goldington,Built-up area,South East,E34000096
/reports/localarea?compare=1119879265,Wateringbury,Built-up area,South East,E34000097
/reports/localarea?compare=1119879266,Over Kellet,Built-up area,North West,E34000098
/reports/localarea?compare=1119879267,Little Wymondley,Built-up area,East,E34000099
/reports/localarea?compare=1119879268,Moira,Built-up area,East Midlands,E34000100
/reports/localarea?compare=1119879269,Drayton (South Somerset),Built-up area,South West,E34000101
/reports/localarea?compare=1119879270,Mellis,Built-up area,East,E34000102
/reports/localarea?compare=1119879271,Market Bosworth,Built-up area,East Midlands,E34000103
/reports/localarea?compare=1119879272,Ashill,Built-up area,East,E34000104
/reports/localarea?compare=1119879273,Rode Heath,Built-up area,North West,E34000105
/reports/localarea?compare=1119879274,Thurton,Built-up area,East,E34000106
/reports/localarea?compare=1119879275,Hail Weston,Built-up area,East,E34000107
/reports/localarea?compare=1119879276,Twigworth,Built-up area,South West,E34000108
/reports/localarea?compare=1119879277,Freshwater,Built-up area,South East,E34000109
/reports/localarea?compare=1119879278,Hardwick (South Norfolk),Built-up area,East,E34000110
/reports/localarea?compare=1119879279,Waresley,Built-up area,East,E34000111
/reports/localarea?compare=1119879280,Gweek,Built-up area,South West,E34000112
/reports/localarea?compare=1119879281,Crick,Built-up area,East Midlands,E34000113
/reports/localarea?compare=1119879282,Wrestlingworth,Built-up area,East,E34000114
/reports/localarea?compare=1119879283,Barnoldswick,Built-up area,North West,E34000115
/reports/localarea?compare=1119879284,Rackheath Industrial Estate,Built-up area,East,E34000116
/reports/localarea?compare=1119879285,Lutton,Built-up area,East Midlands,E34000117
/reports/localarea?compare=1119879286,Seahouses,Built-up area,North East,E34000118
/reports/localarea?compare=1119879287,Billinghay,Built-up area,East Midlands,E34000119
/reports/localarea?compare=1119879288,Hollinfare,Built-up area,North West,E34000120
/reports/localarea?compare=1119879289,Potterhanworth,Built-up area,East Midlands,E34000121
/reports/localarea?compare=1119879290,Wheathampstead,Built-up area,East,E34000122
/reports/localarea?compare=1119879291,Winfarthing,Built-up area,East,E34000123
/reports/localarea?compare=1119879292,Aberford,Built-up area,Yorkshire and The Humber,E34000124
/reports/localarea?compare=1119879293,Northiam,Built-up area,South East,E34000125
/reports/localarea?compare=1119879294,Hawkesbury Upton,Built-up area,South West,E34000126
/reports/localarea?compare=1119879295,Wedmore,Built-up area,South West,E34000127
/reports/localarea?compare=1119879296,High Bickington,Built-up area,South West,E34000128
/reports/localarea?compare=1119879297,Carlton-on-Trent,Built-up area,East Midlands,E34000129
/reports/localarea?compare=1119879298,Ropley,Built-up area,South East,E34000130
/reports/localarea?compare=1119879299,University of Sussex,Built-up area,South East,E34000131
/reports/localarea?compare=1119879300,Wetheringsett,Built-up area,East,E34000132
/reports/localarea?compare=1119879301,Burchett's Green,Built-up area,South East,E34000133
/reports/localarea?compare=1119879302,Stevington,Built-up area,East,E34000134
/reports/localarea?compare=1119879303,Grange-over-Sands,Built-up area,North West,E34000135
/reports/localarea?compare=1119879304,Riding Mill,Built-up area,North East,E34000136
/reports/localarea?compare=1119879305,Ashton under Hill,Built-up area,West Midlands,E34000137
/reports/localarea?compare=1119879306,Osmotherley,Built-up area,Yorkshire and The Humber,E34000138
/reports/localarea?compare=1119879307,Friskney Eaudyke,Built-up area,East Midlands,E34000139
/reports/localarea?compare=1119879308,Cranborne,Built-up area,South West,E34000140
/reports/localarea?compare=1119879309,Preston (North Hertfordshire),Built-up area,East,E34000141
/reports/localarea?compare=1119879310,Theale,Built-up area,South West,E34000142
/reports/localarea?compare=1119879311,Old Stratford,Built-up area,East Midlands,E34000143
/reports/localarea?compare=1119879312,Cublington,Built-up area,South East,E34000144
/reports/localarea?compare=1119879313,Rudston,Built-up area,Yorkshire and The Humber,E34000145
/reports/localarea?compare=1119879314,Bury,Built-up area,South East,E34000146
/reports/localarea?compare=1119879315,Cropredy,Built-up area,South East,E34000147
/reports/localarea?compare=1119879316,Aldbourne,Built-up area,South West,E34000148
/reports/localarea?compare=1119879317,Shipham,Built-up area,South West,E34000149
/reports/localarea?compare=1119879318,Middleton Cheney,Built-up area,East Midlands,E34000150
/reports/localarea?compare=1119879319,Tarporley,Built-up area,North West,E34000151
/reports/localarea?compare=1119879320,Cleeve,Built-up area,South West,E34000152
/reports/localarea?compare=1119879321,Alderton (Suffolk Coastal),Built-up area,East,E34000153
/reports/localarea?compare=1119879322,Batcombe,Built-up area,South West,E34000154
/reports/localarea?compare=1119879323,Moreton,Built-up area,West Midlands,E34000155
/reports/localarea?compare=1119879324,Wirksworth,Built-up area,East Midlands,E34000156
/reports/localarea?compare=1119879325,St Mawes,Built-up area,South West,E34000157
/reports/localarea?compare=1119879326,Stratton Audley,Built-up area,South East,E34000158
/reports/localarea?compare=1119879327,Saxton,Built-up area,Yorkshire and The Humber,E34000159
/reports/localarea?compare=1119879328,Woodcote,Built-up area,South East,E34000160
/reports/localarea?compare=1119879329,Dalton-in-Furness,Built-up area,North West,E34000161
/reports/localarea?compare=1119879330,Blyth (Bassetlaw),Built-up area,East Midlands,E34000162
/reports/localarea?compare=1119879331,Haughley,Built-up area,East,E34000163
/reports/localarea?compare=1119879332,Howe Green,Built-up area,East,E34000164
/reports/localarea?compare=1119879333,Calstock,Built-up area,South West,E34000165
/reports/localarea?compare=1119879334,Five Oak Green,Built-up area,South East,E34000166
/reports/localarea?compare=1119879335,Leasingham,Built-up area,East Midlands,E34000167
/reports/localarea?compare=1119879336,Southrop,Built-up area,South West,E34000168
/reports/localarea?compare=1119879337,Wells-next-the-Sea,Built-up area,East,E34000169
/reports/localarea?compare=1119879338,Tredington,Built-up area,West Midlands,E34000170
/reports/localarea?compare=1119879339,Landrake,Built-up area,South West,E34000171
/reports/localarea?compare=1119879340,Campsall,Built-up area,Yorkshire and The Humber,E34000172
